ALLSKY_KT,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2M,RH2M,PS
0.32,3.33,7.49,4.41,16.8,69,100.72
0.3,3.18,7.42,4.38,16.81,71.88,100.63
0.4,4.15,7.66,5.17,17.8,78.06,100.49
0.55,5.73,7.7,5.28,16.92,71.62,101.16
0.69,7.23,7.46,3.02,17.63,62.94,101.64
0.4,4.24,7.58,3.02,17.51,66.56,101.52
0.31,3.28,7.61,3.83,18.94,73.56,100.92
0.11,1.19,7.63,5.77,18.19,85.44,100.68
0.11,1.17,7.37,7.88,16.41,86.12,100.9
0.27,2.96,7.37,7.33,16.69,82.44,101.25
0.37,3.9,7.19,5.59,17.09,73.38,101.36
0.58,6.25,6.34,4.1,17.39,71.12,101.2
0.56,6.07,6.35,3.98,17.34,76.31,101.12
0.51,5.46,6.78,3.85,17.96,79.88,101.04
0.43,4.65,7.16,4,18.47,80.06,100.9
0.59,6.35,6.39,3.11,18.43,73.94,101.06
0.58,6.3,6.36,2.92,19.36,70.56,101.09
0.56,6.17,6.14,4.15,19.33,73.38,100.88
0.12,1.33,7.39,3.33,20.52,72.12,100.34
0.58,6.33,7.25,3.3,21.01,70.81,99.97
0.52,5.74,7.39,3.35,21.26,68.06,100.82
0.63,6.97,6.98,1.7,22.28,65.31,101.11
0.6,6.64,6.63,3.21,22.01,64.75,101.2
0.55,6.19,7.06,2.27,21.15,65.62,101.19
0.6,6.73,6.77,2.51,22.31,59.75,101.06
0.59,6.6,6.68,2.27,23.69,56.75,100.97
0.5,5.61,6.93,2.43,24.72,57.94,101.04
0.52,5.8,7.18,2.96,24.4,64.5,100.86
0.61,6.86,6.78,3.62,23.84,68.75,100.61
0.59,6.62,6.63,4.03,24.73,64.25,100.18
0.55,6.14,6.38,2.25,27.5,50.81,99.82
0.59,6.63,6.55,5.93,24.12,64.12,100.33
0.6,6.8,6.76,4.46,23.03,59.5,100.91
0.59,6.7,6.82,2.9,22.79,58.62,101.14
0.47,5.35,7.17,2.97,23.62,56.44,100.99
0.15,1.72,7.66,4.68,22.42,71.75,100.7
0.12,1.33,7.68,6.57,21.23,73.12,100.72
0.62,7.02,7.26,4.55,21.05,61.81,101.13
0.57,6.51,6.52,2.55,21.76,57.88,101.29
0.63,7.21,7.08,2.95,22.05,57.19,101.44
0.64,7.35,7.42,2.04,25.08,47.69,100.96
0.62,7.19,7.22,1.84,26.12,53,100.5
0.5,5.72,7.15,3.62,25.14,62.12,100.45
0.48,5.52,7.23,2.73,24.62,64.62,100.19
0.55,6.35,7.56,2.86,24.87,60.44,100.31
0.45,5.16,7.89,3.88,23.09,56.25,100.93
0.66,7.57,8.16,1.36,25.16,49.06,100.89
0.63,7.27,7.15,2.12,27.91,38.94,100.71
0.62,7.16,7.04,2.55,28.85,36.94,100.57
0.62,7.18,7.09,4.34,25.35,63.31,100.67
0.52,6.04,7.45,4.08,25.23,66.75,100.52
0.62,7.12,7.27,5.51,24.36,60.69,100.81
0.64,7.37,7.34,3.8,23.88,65.38,100.91
0.57,6.57,7.23,4.56,25.63,68.06,100.85
0.44,5.03,7.46,5.02,24.58,61.81,101.03
0.47,5.44,7.39,4.86,24.49,65.19,100.8
0.58,6.62,7.25,4.34,24.83,67.62,100.77
0.6,6.92,6.18,2.86,26.33,66.94,100.84
0.37,4.27,6.41,2.73,25.9,67.81,100.78
0.58,6.7,7.26,5.15,26.5,64.38,100.63
0.63,7.32,6.74,5.55,25.38,67.56,100.69
0.59,6.88,6.77,5.01,26.27,58.06,100.88
0.6,6.93,6.9,4.33,26.98,57.75,101.07
0.59,6.72,6.66,2.9,27.58,54,101.1
0.61,6.99,6.95,3.09,26.87,59.56,100.97
0.62,7.19,6.91,2.74,26.73,59.06,100.79
0.6,6.95,6.78,3.69,27.05,64.94,100.83
0.61,7.01,6.9,3.55,26.7,65.62,101.06
0.64,7.32,6.58,3.18,28.64,56.5,101.06
0.55,6.34,6.33,1.84,30.45,42.75,100.83
0.66,7.52,7.18,3.59,29.25,47.94,100.73
0.58,6.59,6.88,1.81,31.03,49.5,100.57
0.57,6.52,6.61,4.7,29.26,50.94,100.7
0.59,6.8,6.74,3.7,27.07,47,100.89
0.62,7.06,7.13,3.13,27.66,52.38,100.73
0.57,6.52,6.4,4.6,27.12,52.31,101.05
0.58,6.59,6.59,3.84,26.42,53,101.11
0.58,6.61,6.53,3.27,25.86,58.94,101.12
0.57,6.47,6.36,2.75,26.58,58.81,100.87
0.58,6.59,6.23,3.36,27.7,57.38,100.78
0.59,6.66,6.21,4.47,26.83,64.62,100.85
0.53,6.04,6.81,5.1,26.7,67.62,100.68
0.59,6.71,6.43,3.88,26.3,61.81,100.8
0.57,6.42,6.42,2.84,26.59,54.94,100.96
0.59,6.65,6.15,3.78,27.24,58.62,101.18
0.53,5.97,5.97,3.27,27.83,61.12,101.21
0.45,5.1,6.3,1.94,29.07,53.06,100.83
0.57,6.36,6.24,2.57,29.87,47.44,100.57
0.62,6.94,6.48,4.72,27.69,61.81,100.84
0.61,6.8,6.44,3.84,27.07,59.12,101.1
0.58,6.48,6.45,2.89,27.24,54.69,101.07
0.57,6.36,6.34,2.79,26.76,51.12,101.06
0.55,6.09,6.09,2.21,27.99,45,100.96
0.58,6.37,6.33,2.3,29.61,47.5,100.76
0.49,5.47,5.69,2.15,30.45,48.94,100.75
0.53,5.88,5.88,3.21,30.73,46.88,100.83
0.57,6.3,6.3,2.19,30.51,53.62,100.84
0.57,6.27,6.21,3.69,29.48,64.81,101.14
0.58,6.32,5.78,3.56,30.52,55.38,101.09
0.57,6.19,6.15,4.56,28.83,62.88,101.08
0.57,6.18,6.1,4.64,28.26,63.31,101.02
0.41,4.44,6.33,3.65,28.01,63.31,100.92
0.54,5.88,5.93,3.4,28,62.62,100.98
0.45,4.87,6.34,4.33,27.43,67.44,101.05
0.16,1.79,7.19,5.24,26.96,69.06,101.08
0.47,5.04,6.9,5.8,26.71,72.25,100.84
0.54,5.75,6.68,4.62,26.56,70.69,100.71
0.65,6.95,6.96,2.94,27.98,64.88,100.95
0.55,5.84,6.19,2.64,28.62,60.94,101.12
0.55,5.88,5.87,4.02,27.45,66.81,101.27
0.58,6.14,6.05,3.76,27.31,60.81,101.22
0.55,5.82,6.28,3.97,27.37,58.88,101.23
0.59,6.17,5.97,3.48,27.4,58.44,101.19
0.53,5.54,6.34,3,28.28,59.62,101.1
0.52,5.34,6.31,2.52,29.39,56.12,100.99
0.59,6.14,6.14,2.2,30.91,45.12,100.92
0.62,6.35,6.57,3.89,29.09,62.06,101.17
0.59,6.07,5.98,3.07,28.98,54.19,101.25
0.59,5.98,6.03,2.74,28.6,62.56,101.13
0.66,6.78,6.76,3.59,28.53,58.81,101.15
0.6,6.15,6.1,2.31,28.51,59.62,101.03
0.54,5.42,5.63,2.27,30.85,42.19,100.76
0.58,5.84,5.67,4.55,29.13,53,101.02
0.59,5.99,5.87,4.25,26.9,54.81,101.39
0.59,5.88,5.78,1.83,27.27,51.81,101.22
0.57,5.65,5.67,2.66,28.2,53.5,100.87
0.56,5.56,5.77,3.98,28.11,58.81,100.83
0.59,5.8,6.07,3.8,28,61.56,101.02
0.55,5.34,5.46,3.26,27.97,61.25,101.11
0.58,5.63,5.63,3.37,28.69,61.38,100.96
0.56,5.47,5.43,2.67,30.16,55.31,100.71
0.58,5.63,5.54,2.15,31.02,43.19,100.64
0.53,5.11,5.2,2.67,30.07,52.5,100.84
0.54,5.16,5.63,3.01,28.55,69.5,100.85
0.56,5.39,5.37,3.5,26.94,66.12,100.89
0.52,4.92,6.13,3,28.27,62.38,100.67
0.59,5.58,5.55,3.45,28.28,67.81,100.66
0.58,5.41,5.42,1.98,29.3,53.81,100.78
0.56,5.25,5.04,2.86,29.75,46.25,100.8
0.55,5.12,4.99,3.77,28.65,64.38,101.1
0.59,5.4,5.3,1.95,31.4,51.44,100.87
0.55,5.03,4.99,3.2,30.87,45.75,100.66
0.58,5.27,5.13,3.64,28.33,58.62,100.93
0.54,4.91,5.03,4.02,26.27,59.88,101.35
0.58,5.21,5.09,2.78,26.88,62.31,101.52
0.56,5,5.04,3.17,28.69,56.19,101.34
0.55,4.89,4.9,2.71,29.24,57.81,101.09
0.51,4.51,4.61,3.02,27.31,67.19,101.23
0.54,4.75,5.04,2.06,29.44,55.31,101.21
0.56,4.91,5.51,2.72,27.83,64,101.14
0.5,4.31,4.95,2.76,27.99,67.25,100.93
0.56,4.82,4.85,2.14,28.95,56.56,100.73
0.57,4.88,4.87,3.28,27.68,63.06,100.81
0.42,3.61,4.69,3.41,28.63,49.56,100.84
0.56,4.75,4.76,2.38,30.84,35.06,100.78
0.55,4.65,4.66,2.91,31.05,32.44,100.89
0.5,4.15,5.02,2.73,32.21,27.31,101.12
0.39,3.23,4.96,2.52,30.73,30.31,101.17
0.53,4.38,4.67,5.95,26.41,58.5,101.5
0.56,4.57,5.28,4.34,23.87,59.38,101.61
0.56,4.53,5.11,2.25,24.01,65.19,101.37
0.59,4.77,4.76,1.89,25.8,63.25,101.12
0.59,4.76,4.81,2.36,25.9,68.06,101.04
0.58,4.6,4.82,3.27,25.51,75.62,100.8
0.58,4.53,4.62,2.11,26.29,69.94,100.72
0.49,3.81,5.26,3.73,25.01,76.62,100.99
0.53,4.12,4.35,5.19,24.4,71.25,101.13
0.46,3.56,4.66,2.04,26.31,63.38,100.47
0.61,4.61,4.89,2.33,28.36,43.06,100.11
0.3,2.22,5.14,3.02,26.62,49.75,100.53
0.3,2.3,4.73,5.68,27.02,61.56,100.87
0.3,2.22,4.66,5.25,27.54,42.69,100.81
0.56,4.16,4.69,2.89,27.93,29.5,101.17
0.2,1.43,5,2.26,27.86,32.75,101.45
0.57,4.13,4.42,2.02,26.14,48.94,101.25
0.55,3.98,4.5,1.45,26.48,58.94,100.78
0.59,4.25,4.54,1.72,26.54,63,100.77
0.61,4.29,4.39,3.2,26.08,74.12,100.68
