ALLSKY_KT,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2M,RH2M,PS
0.62,3.57,3.72,3.07,10.11,59.56,102.41
0.64,3.72,3.75,3.88,10.2,56.5,102.04
0.7,4.04,4.06,4.93,10.04,53.94,101.89
0.67,3.94,3.96,3,10.26,49.62,101.94
0.64,3.81,3.87,2.8,10.64,48,101.37
0.49,2.95,4.34,3.19,10.18,55.94,100.18
0.34,2.06,4.47,2.3,8.86,78.31,99.96
0.4,2.44,4.45,6.31,9.32,67.69,100.2
0.65,3.98,4.16,5.84,9.15,62.25,100.76
0.53,3.31,4.26,5.21,9.8,59.19,100.82
0.59,3.68,4.49,6.48,10.89,61.62,101.14
0.66,4.19,4.27,4.02,11.76,63.19,101.57
0.6,3.8,4.1,5.55,10.83,57.56,101.17
0.52,3.29,3.97,3.17,11.77,61.94,100.87
0.62,4.03,4.25,4.77,11.93,55.19,100.12
0.68,4.45,4.46,2.45,11.3,62.19,100.9
0.6,3.99,4.31,2.83,13.31,46.06,101.16
0.62,4.15,4.33,1.7,13.27,55.88,100.73
0.61,4.07,4.47,3.22,14.05,68.06,99.93
0.58,3.92,4.57,4.84,12.71,60.62,100.71
0.42,2.9,4.69,4.12,12.08,59.75,101.11
0.6,4.13,4.9,3.86,11.94,56.62,101.59
0.61,4.26,4.5,3.05,13.05,46.38,101.49
0.67,4.72,4.73,2.28,14.32,50.25,101.46
0.55,3.85,4.98,4.22,14.44,48.38,101.03
0.64,4.58,4.58,3.91,15.62,43.06,100.88
0.66,4.72,4.74,2.34,14.9,68,101.29
0.65,4.73,4.82,2.95,14.96,75.88,101.54
0.62,4.54,4.75,3.16,15.85,69.44,101.12
0.61,4.5,4.74,2.2,16.37,48.75,100.31
0.56,4.19,4.74,2.63,15.17,56.38,100.4
0.59,4.46,4.8,6.56,14.6,76.62,101.18
0.6,4.53,4.57,6.02,14.33,72.75,101.55
0.64,4.86,4.89,4.41,13.77,77.06,101.6
0.42,3.27,5.44,6.22,14.38,84.5,101.32
0.31,2.45,5.48,7.17,13.87,77.5,101.27
0.49,3.83,5.43,4.19,14.24,73.81,101.41
0.62,4.86,4.91,2.33,13.09,73.06,101.71
0.62,4.95,4.97,1.51,14.05,68.06,101.6
0.61,4.87,4.9,2.45,13.83,78.88,101.71
0.61,4.89,4.99,2.59,14.08,72.06,101.68
0.62,5.01,5.02,2.66,13.49,73.5,101.5
0.6,4.91,5.26,2.08,14.14,73.12,101.46
0.6,4.94,5.04,3.04,13.87,73.44,101.76
0.61,5.07,5.17,2.92,14.18,72,101.83
0.23,1.97,5.88,4.57,15.17,75.5,101.16
0.28,2.4,5.93,5.27,14.55,75.62,100.94
0.66,5.59,5.6,2.31,14.44,60.88,101.49
0.64,5.49,5.5,1.47,15.55,61.81,101.7
0.61,5.28,5.28,3.66,17.24,44.5,101.34
0.57,4.98,5.45,2.12,19.84,33.56,100.98
0.63,5.54,5.52,4.73,17.12,62,101.09
0.64,5.64,5.75,5.55,16.62,74.75,101.84
0.63,5.62,5.72,3.18,15.94,76.38,102.04
0.62,5.51,5.52,2.39,17.6,66.75,101.35
0.62,5.51,5.83,3.18,19.88,54.88,100.22
0.64,5.78,6.18,3.29,18.64,57,100.34
0.63,5.72,5.64,3.79,16.83,60,101.35
0.65,5.94,5.96,1.9,16.35,63.06,101.76
0.65,5.97,6.03,2.83,15.36,68.12,101.77
0.64,5.94,6.04,2.38,15.93,60.88,101.45
0.65,6.01,6.03,2.18,20.32,37.5,100.96
0.42,3.93,6.04,4.26,17.83,57.56,100.85
0.49,4.63,6.75,2.96,14.05,60.56,101.01
0.55,5.16,6.84,6.35,12.54,58.5,100.84
0.52,4.89,6.6,5.24,15.08,59.94,100.9
0.5,4.76,6.71,2.19,15.94,56.94,101.22
0.5,4.79,7,3.27,16.48,43.06,100.92
0.66,6.35,6.48,2.54,17.77,45.5,100.72
0.66,6.47,6.47,1.92,16.3,52.19,100.99
0.53,5.2,6.77,3.77,19.9,39.06,100.02
0.57,5.64,6.49,4.38,18.61,58.5,99.74
0.68,6.7,6.63,2.75,14.9,47.06,100.91
0.66,6.53,6.52,2.67,16,50.69,101.21
0.53,5.29,7.38,3.73,17.39,61.94,100.67
0.59,5.92,7.12,4.33,21.96,51.75,99.47
0.63,6.36,6.66,5.43,19.78,40.12,99.75
0.62,6.22,6.36,4.08,18.35,37.69,100.14
0.67,6.78,6.83,4.59,16.19,65.69,100.19
0.65,6.58,7.05,4.24,15.87,67.69,99.9
0.53,5.42,6.49,4.09,16.16,70.69,99.83
0.59,6.06,6.98,3.55,17.55,66.06,100.24
0.65,6.69,6.72,1.54,18.82,57.31,100.82
0.7,7.31,7.41,1.73,22.33,33.62,100.79
0.71,7.39,7.42,2.48,22.29,41.69,100.57
0.66,6.91,7.48,7.12,18.98,57.38,100.59
0.62,6.43,6.68,5.8,17.7,48.19,101.16
0.49,5.17,7.53,5.01,16.3,63.56,101.45
0.69,7.25,7.41,3.65,18.67,58,101.66
0.48,5.12,6.6,1.85,19.15,59.12,101.49
0.34,3.61,7.59,3.73,16.88,72.19,101.35
0.52,5.52,7.5,5.35,17.58,69.56,101.29
0.64,6.81,6.73,2.59,19.62,55.62,101.16
0.63,6.8,6.74,4.8,22.14,42.25,100.84
0.64,6.85,6.79,3.42,19.6,67.44,101.15
0.63,6.79,6.83,2.84,20.18,69.81,101.11
0.64,6.93,6.97,3.68,20.32,62.81,101.04
0.62,6.77,6.73,3.34,19,63.44,100.91
0.63,6.91,6.65,3.37,21.73,57.25,100.37
0.53,5.84,7.29,4.57,20.83,63.56,100.46
0.51,5.55,7.58,3,19.7,57.19,100.78
0.62,6.78,6.75,1.88,21.15,55.81,100.71
0.6,6.65,6.82,4.12,22.83,52.62,100.34
0.53,5.84,7.45,3.61,24.37,56.56,99.86
0.63,7,7.04,4.18,22,65.06,100.39
0.63,7.05,7.07,3.27,21.26,72.19,100.69
0.59,6.61,6.64,1.98,24.2,60.19,100.47
0.6,6.69,7.33,3.41,25.13,58.19,100.13
0.48,5.42,7.68,4.44,23.23,45.38,100.25
0.52,5.85,7.68,2.94,21.75,56.75,100.88
0.63,7.07,7.08,1.81,25.47,32.56,100.84
0.63,7.12,7.08,1.97,26.14,38.19,100.97
0.61,6.82,6.82,2.84,26.64,44,101.02
0.63,7.1,7.03,3.47,27.98,38.12,100.78
0.59,6.72,7.42,2.95,29.4,30.12,100.5
0.65,7.29,7.74,4.94,23.92,57.44,100.69
0.62,7.05,7.04,3.34,24.2,65.5,100.71
0.64,7.24,7.33,3.15,25.12,64.06,100.71
0.61,6.94,7.44,3.05,24.75,61.56,100.8
0.5,5.7,7.47,2.89,27.21,59.75,100.72
0.44,4.95,7.56,2.43,28.05,56.06,100.88
0.61,6.95,6.91,1.64,31.23,39.31,100.96
0.6,6.89,6.79,4,27.42,58.62,101.05
0.62,7.02,7.03,4.16,25.08,59.88,101.11
0.66,7.54,7.54,3.41,23.8,62.38,101.23
0.62,7.15,7.14,2.1,26.23,58.06,101.11
0.66,7.47,7.47,2.73,26.37,55.19,100.89
0.62,7.04,7.03,4.42,24.88,50.94,101.04
0.64,7.37,7.23,3.99,22.51,58.62,101.21
0.66,7.6,7.92,3.4,23.34,61.25,101.08
0.52,5.99,7.96,4.36,24.58,65.5,100.97
0.66,7.59,7.6,4.88,23.76,45.38,101.23
0.49,5.66,7.42,3.08,23.82,53.25,101.05
0.38,4.27,7.76,4.72,23.25,64.44,100.73
0.68,7.85,7.83,5.58,22.21,56.06,101.1
0.63,7.31,7.31,3.38,22.44,53.5,101.33
0.64,7.37,7.51,2.55,24.19,53.81,101.28
0.69,7.89,8.03,3.9,24.73,52,101.19
0.68,7.87,7.81,1.24,27.62,40.12,100.97
0.66,7.63,7.64,2.15,28.83,40.38,101.07
0.64,7.38,7.38,2.38,29.23,43.62,101.12
0.62,7.2,7.17,1.5,32.8,25.56,100.84
0.62,7.2,7.2,4.1,27.26,52.56,100.92
0.54,6.21,6.71,5.48,25.8,58.5,101.22
0.41,4.67,7.62,4.99,25.12,65.81,101.16
0.69,7.94,8,4.21,25.9,69.31,100.92
0.67,7.73,7.69,4.11,26.69,70.44,100.61
0.67,7.74,7.72,4.61,27.37,66.25,100.61
0.61,7.03,7,4.53,26.36,68.06,100.89
0.65,7.48,7.43,4.48,26.55,66.44,100.95
0.65,7.47,7.38,4.99,25.97,63.62,101.09
0.62,7.13,7.07,3.23,27.05,52,100.91
0.66,7.6,7.37,3.98,27.19,54.06,100.78
0.66,7.56,7.38,1.92,29.41,42.06,100.82
0.6,6.91,6.9,1.79,30.45,39.44,100.96
0.61,6.99,6.95,1.8,30.42,40.62,100.98
0.68,7.8,7.79,1.5,31.01,37.31,100.9
0.58,6.61,6.6,1.7,33.41,26.62,100.71
0.64,7.33,7.29,3.1,30.33,40.5,100.67
0.63,7.23,7.09,3.77,28.4,52.62,100.84
0.6,6.82,6.74,2.14,29.37,44.62,100.97
0.65,7.37,7.03,2.77,29.37,45.88,100.99
0.62,7.02,6.83,2.97,28.12,53.94,100.92
0.69,7.78,8.12,3.81,27.49,55.62,100.89
0.6,6.81,6.69,3.38,27.08,49.5,101.05
0.6,6.76,6.74,2.66,27.83,49.31,101.26
0.6,6.75,6.72,1.84,29.39,43.44,101.2
0.56,6.37,6.36,2.29,31.27,35.88,100.93
0.58,6.54,6.49,2.86,29.1,51.38,100.98
0.62,6.9,6.64,2.67,28.88,55.75,101
0.6,6.72,6.53,1.72,31.2,41.5,100.78
0.54,6.06,6.1,1.86,32.97,27.44,100.49
0.59,6.59,6.44,4.23,29.02,56.5,100.49
0.61,6.76,6.96,3.67,28.56,58.94,100.56
0.59,6.64,6.64,3.08,28.85,52.62,100.71
0.59,6.61,6.54,2.05,29.83,48.94,100.6
0.65,7.14,7.22,4.38,29.58,55.12,100.61
0.47,5.21,7.08,4.3,29.07,60,100.72
0.66,7.26,7.07,4.83,28.12,62.12,100.78
0.65,7.09,7.18,3.05,28.15,57.38,100.76
0.55,6.09,6.09,2.7,28.84,53.19,100.71
0.63,6.9,6.61,3.43,29.53,54.06,100.64
0.48,5.18,7.12,3.48,29.28,57.81,100.54
0.66,7.16,7.33,3.55,29.18,63.94,100.53
0.63,6.9,7.24,4.76,29.29,66.5,100.65
0.66,7.09,7.36,4.98,28.87,64.94,100.78
0.66,7.08,7.3,4.01,29.16,60.75,100.92
0.67,7.22,7.3,2.84,29.33,57,101
0.62,6.72,6.72,2.58,30.32,50.25,100.93
0.61,6.54,6.53,1.91,30.69,47.62,100.95
0.62,6.57,6.57,2.66,32.31,34.62,100.95
0.62,6.54,6.54,2.36,33.51,28.94,100.75
0.66,7.06,7.06,2.19,33.26,30.62,100.64
0.68,7.21,7.26,2.55,33.66,32.62,100.67
0.64,6.73,6.71,2.26,32.69,41.25,100.8
0.61,6.39,6.39,1.76,32.51,50,100.78
0.65,6.75,6.73,2.86,32.93,41.12,100.85
0.62,6.4,6.39,1.84,34.37,35.94,100.94
0.62,6.5,6.51,2.27,35.32,27.38,100.95
0.58,5.97,6.12,1.98,35,34.25,100.78
0.57,5.87,6.24,2.98,34.71,35.06,100.54
0.66,6.78,6.61,4.01,30.92,53.06,100.77
0.63,6.48,6.38,2.93,29.79,53.38,100.88
0.66,6.66,6.72,2.86,29.58,55.88,100.93
0.6,6.12,6.06,2.87,29.75,56.69,101.05
0.61,6.15,6.16,1.91,31.05,49.19,101.03
0.59,6,5.99,2.53,33,29.12,100.7
0.61,6.06,6.06,2,33.67,23.06,100.33
0.63,6.27,6.37,4.56,29.78,60.19,100.64
0.6,5.96,5.94,3.48,29.62,51.62,100.92
0.59,5.89,5.87,2.58,29.54,54.81,100.87
0.61,6,5.85,2.77,28.34,57.31,100.86
0.61,5.97,5.75,2.8,28.05,55.94,100.83
0.62,6.04,5.75,3.15,28.26,58.19,100.86
0.66,6.42,6.43,3.04,28.19,61.44,100.86
0.68,6.52,6.57,1.53,30.52,52.12,100.64
0.6,5.78,6.33,5.14,28.7,58.56,100.8
0.66,6.3,6.59,4.23,27.44,58.56,100.83
0.65,6.16,6.47,5.02,27.28,58,100.99
0.61,5.76,5.91,5.08,26.57,65.62,101.1
0.54,5.06,6.37,3.85,26.17,76.06,100.85
0.66,6.17,6.26,2.7,28.43,67.38,100.53
0.61,5.68,5.81,2.18,29.12,61.19,100.8
0.63,5.81,6,3.5,27.8,77.5,101.05
0.64,5.85,5.87,3.58,27.89,67.25,101.12
0.65,5.88,5.88,3.12,29.08,60.06,101.01
0.62,5.6,5.61,2.35,30.02,45.88,100.84
0.59,5.31,5.39,2.5,31.93,34.62,100.49
0.63,5.64,5.81,4.87,28.35,55.19,100.64
0.56,5.02,5.05,4.21,26.55,57.81,101.01
0.59,5.16,5.3,3.7,27.37,64.75,100.79
0.45,3.98,5.89,6.79,25.89,68.88,100.83
0.52,4.56,5.4,5.6,23.49,54.94,101
0.55,4.84,4.9,2.4,22.4,46.5,100.89
0.61,5.22,5.36,3.45,26.22,47.25,100.39
0.55,4.78,5.83,3.53,28.59,43.88,100.58
0.48,4.12,5.71,3.71,28.03,58.88,100.87
0.56,4.72,5.16,2.27,28.82,63.25,101.09
0.61,5.11,5.12,3.05,28.58,56.81,101.03
0.39,3.22,5.45,1.34,28.29,61.56,100.84
0.34,2.78,5.06,2.66,27.68,64.81,100.82
0.51,4.14,4.98,3.77,27.1,67.81,100.82
0.51,4.16,5.3,4.05,28.51,58.69,100.78
0.45,3.64,5.16,2.22,26.49,73.62,101.08
0.31,2.5,5.51,4.31,26.46,70,101.22
0.53,4.23,4.63,4.21,26.15,65.75,101
0.52,4.06,4.68,4.4,26.42,66.81,100.55
0.35,2.78,5.27,6.7,24.41,81.38,100.44
0.48,3.68,5.26,5.6,23.93,71.94,100.73
0.58,4.47,4.51,4.72,23.44,66.69,101.01
0.41,3.14,4.53,3.1,22.47,69.31,101.07
0.58,4.38,4.51,1.55,23.39,66.94,101.09
0.59,4.43,4.47,2.02,25.04,58.06,101.23
0.43,3.22,5.17,2.22,23.73,60.62,101.19
0.43,3.18,4.37,2.3,24.07,58.62,101.22
0.37,2.68,5.01,3.37,22.3,76.88,101.46
0.57,4.16,4.37,3.02,22.51,72.19,101.52
0.58,4.21,4.33,3.65,21.51,74.19,101.49
0.52,3.79,4.24,2.49,22.03,62.31,101.32
0.6,4.26,4.4,1.19,22.51,53.62,100.94
0.25,1.75,4.84,2.62,21.5,54.75,100.48
0.55,3.88,4.04,2.49,21.61,55.31,100.4
0.31,2.17,4.75,3.39,19.52,66.62,100.42
0.41,2.77,4.7,1.65,21.35,68.19,99.9
0.49,3.36,4.61,4.18,20.35,60.25,99.87
0.38,2.61,4.44,4.7,20.69,58,100.19
0.55,3.73,3.96,2.39,21.3,59.69,100.53
0.5,3.31,3.66,2.05,21.98,57.75,100.81
0.52,3.48,3.74,2.38,22.62,62,101.16
0.57,3.71,3.97,2.25,22.54,48.88,101.08
0.56,3.64,3.86,1.96,23.5,48.88,100.99
0.57,3.66,3.76,2.68,23.9,48.31,100.78
0.22,1.38,3.99,3.23,22.19,52.81,100.91
0.6,3.82,3.92,2.39,22.4,70.56,101.29
0.58,3.61,3.74,1.92,21.07,70.5,101.47
0.5,3.12,4.14,2.02,21.02,72.56,101.32
0.55,3.44,3.63,2.13,21.41,70.81,101.14
0.56,3.45,3.78,2.64,21.79,75.75,101.04
0.5,3.04,3.66,4.66,22.34,72.06,100.84
0.55,3.34,3.53,2.13,21.08,61.69,100.9
0.59,3.54,3.72,3.31,19.51,70.12,101.22
0.44,2.6,3.65,1.92,20.51,65.31,101.05
0.58,3.39,3.41,2.83,20.05,46.31,100.99
0.6,3.49,3.51,2.84,19.58,53.69,101.13
0.47,2.69,3.32,4.85,20.48,48.69,100.99
0.56,3.22,3.37,2.87,20.26,53.06,100.96
0.58,3.27,3.3,2.27,19.9,53.19,100.91
0.6,3.38,3.45,2.73,18.73,67.12,101.07
0.59,3.24,3.36,3.96,18.65,67.88,101.58
0.57,3.16,3.34,3.62,17.84,71.62,101.93
0.59,3.23,3.24,2.49,17.65,63.81,101.78
0.55,2.99,3.27,3.48,17.48,49.06,101.22
0.53,2.88,3.15,3.16,18.96,52.88,101.11
0.4,2.16,3.63,3.89,18.71,68.38,101.2
0.49,2.62,2.97,3.93,18.21,70.31,101.7
0.6,3.2,3.22,2.4,16.74,63.88,101.92
0.6,3.15,3.18,1.75,17.14,56.62,101.79
0.61,3.17,3.19,1.78,17.12,67.06,102.01
0.61,3.17,3.2,1.23,17.9,76.88,102.26
0.59,3.06,3.15,1.11,17.73,71.19,102.04
0.49,2.52,2.97,1.98,16.7,70.81,101.74
0.34,1.7,3.09,2.23,16.77,63.56,101.41
0.59,3,3.11,2.46,16.08,65.25,101.57
0.48,2.4,3.3,3.65,15.66,75.94,102.13
0.62,3.06,3.09,1.88,14.97,64.19,101.98
0.6,2.99,3.09,2.09,14.35,65.25,101.86
0.6,2.95,3.06,1.34,16.02,68.94,102.15
0.55,2.71,3.21,1.85,15.89,67.94,102.38
0.62,3.06,3.08,2.16,15.97,61.75,102.55
0.62,2.98,3,3.48,14.55,55.88,102.48
0.62,3.02,3.04,4.88,14.11,57.81,102.48
0.62,2.98,3,5.27,13.49,57.06,102.35
0.62,2.99,3.05,5.34,13.41,48.88,102.16
0.52,2.52,2.96,2.52,13.3,53.06,102.15
0.55,2.64,2.92,1.46,14.76,62.5,102.03
0.49,2.32,2.99,3.88,16.01,71.44,102.1
0.55,2.61,3,3.72,15.53,85.44,102.22
0.63,2.99,3.05,1.53,15.47,73.88,102.09
0.61,2.86,2.88,3.31,14.64,65.75,101.57
0.62,2.94,2.97,2.33,13.8,65.56,101.52
0.53,2.49,2.96,2.73,14.23,73.5,101.97
0.59,2.77,2.95,1.09,14.84,68.12,102.06
0.49,2.32,3.16,3.36,14.19,61,101.84
0.52,2.46,2.83,4.17,13.4,60.94,101.4
0.38,1.75,2.91,4.52,12.17,66.25,101.12
0.52,2.44,2.98,5.88,11.98,61.56,101.21
0.61,2.85,2.94,7.09,11.57,60.06,100.7
0.55,2.57,2.98,6.02,10.4,56.12,100.6
0.56,2.64,2.77,3.88,10.3,58.19,101.26
0.42,1.98,3.17,2.18,11.9,64.94,101.23
0.61,2.88,2.98,3.57,11.15,65.38,101.51
0.62,2.9,2.94,3.1,10.15,65.19,101.67
0.6,2.85,2.88,3.29,10.65,62.5,101.87
0.61,2.88,2.89,3.78,10.15,59.12,101.93
0.59,2.82,2.85,4.69,10.03,53.5,101.78
0.62,2.98,3,6.66,11.56,60.62,101.37
0.63,3,3.01,7.16,12.58,67.38,100.85
0.21,1.02,3.38,4.94,11.1,72.44,100.95
0.49,2.35,2.97,4.31,9.09,57.19,101.35
0.48,2.3,2.89,4.57,8.12,58.06,101.32
0.54,2.6,2.98,3.29,7.63,55.44,101.32
0.59,2.88,2.97,3.77,8.33,56.56,101.43
0.57,2.78,3.29,3.84,7.68,69.44,100.93
0.23,1.13,3.49,3.19,7.65,84.62,100.95
0.5,2.46,2.89,5.61,9.46,68.5,101.15
0.31,1.55,2.94,3.73,8.82,69.88,101.42
0.59,2.93,3.15,5.24,11.31,69.12,101.06
0.45,2.22,3,4.99,10.17,72.88,100.63
0.43,2.17,3.61,5.44,8.07,70.81,100.7
0.4,2,3.62,6.09,6.94,63.81,101.11
0.26,1.33,3.74,4.88,7.36,67.06,101.47
0.64,3.3,3.4,2.45,8.13,62.69,102.09
0.65,3.33,3.39,2.08,8.22,52.44,102.28
0.63,3.28,3.38,5.38,7.4,58.38,102.18
0.56,2.95,3.22,6.16,8.15,61.12,102.16
0.63,3.36,3.39,4.14,10.22,56.75,102.32
0.62,3.28,3.38,3.99,12.14,57.81,102.16
0.64,3.43,3.45,1.89,12.48,68.19,102.31
0.62,3.33,3.35,4.8,11.5,65.5,102.06
0.6,3.29,3.31,4.05,11.06,62.38,101.86
0.63,3.47,3.48,2.93,11.62,60.56,101.98
0.62,3.45,3.46,5.5,12.15,55.69,101.63
0.6,3.33,3.56,2.31,12.47,55.69,101.7
0.62,3.52,3.54,2.19,12.87,65.38,101.89
0.63,3.58,3.6,2.5,12,67.31,101.78
0.54,3.08,3.83,4.45,12.38,62.88,101.46
0.52,3,3.77,2.97,13.34,63.94,101.45
0.44,2.52,3.6,3.52,11.43,65.81,101.75
0.45,2.6,4.06,3.4,11.32,75.12,101.73
0.45,2.67,3.85,2.25,12.21,75.94,101.9
0.65,3.88,3.95,2.54,11.8,70.88,102.31
0.56,3.38,3.85,3.04,11.84,72.44,102.04
0.66,3.99,4.02,2.68,12.32,70.62,101.94
0.65,3.96,4,1.87,12.94,57.62,101.66
0.66,4.05,4.13,3.25,13.33,51.25,101.27
0.64,4,4.06,3.3,12.73,51.81,100.73
0.65,4.1,4.14,1.8,14.29,58.88,100.53
0.62,3.98,4.35,2.95,15.3,74.19,100.73
0.65,4.14,4.43,5.05,15.03,80.44,101.23
0.66,4.27,4.34,2.84,13.87,73.38,101.95
0.55,3.61,4.39,3.2,15.32,56.19,101.6
0.51,3.35,4.18,2.64,15.98,56.19,101.49
0.55,3.65,4.2,1.8,15.26,65.38,101.76
0.62,4.12,4.16,1.6,15.31,56.44,101.75
0.62,4.24,4.3,4.05,16.58,57.31,101.31
0.62,4.25,4.28,3.34,14.01,65.69,101.97
0.62,4.32,4.33,2.25,12.25,69.56,102.29
0.62,4.26,4.6,1.83,12.87,65.38,101.98
0.63,4.44,4.47,2.1,14.48,50.06,101.44
0.62,4.37,4.56,2.25,14.34,54.38,101.16
0.52,3.75,4.44,2.19,14.5,70.31,101.16
0.63,4.56,4.59,3.98,15.52,50.12,100.78
0.62,4.54,4.56,5.03,16.37,51.12,100.27
0.62,4.52,4.79,4.77,14.91,72.88,100.49
0.55,4.11,5.2,4.17,15.26,83.81,100.78
0.52,3.81,4.29,4.13,16.26,57.88,100.33
0.55,4.17,4.98,5.72,13.23,51,100.53
0.59,4.4,4.38,3.38,13.29,53.62,101.19
0.45,3.41,4.44,4.84,13.19,50.12,100.69
0.41,3.14,4.8,4.73,12.55,48.38,100.87
0.37,2.82,5.47,4.38,15.71,55.56,100.59
0.16,1.23,5.52,3.67,12.65,72.31,101.09
0.53,4.19,4.73,2.86,12.42,68.38,101.44
0.62,4.91,4.93,2.31,13.73,72.88,101.36
0.52,4.12,4.85,4.05,14.77,79.69,100.99
0.33,2.64,5.67,4.84,15.58,85.75,100.37
0.25,2.06,5.72,3.57,17.38,67.38,99.79
0.39,3.16,5.75,3.2,16.44,46.31,99.46
0.46,3.8,5.11,2.57,14.82,64.88,100.25
0.66,5.44,5.49,2.29,14.73,53.06,100.68
0.59,4.97,5.37,2.12,14.19,59.38,100.55
0.26,2.15,6,5.43,14.69,71.06,100.78
0.64,5.43,5.46,2.59,13.83,55.44,101.62
0.61,5.2,5.22,3.12,15.75,45.06,101.6
0.62,5.31,5.31,4.39,17.17,41.12,101.25
0.59,5.09,5.09,3.66,14.66,56.94,101.62
0.45,3.93,5.61,4.79,13.3,52.38,101.97
0.55,4.82,5.46,5.73,11.97,45.88,102.35
0.61,5.35,5.41,2.72,12.32,47.38,102.29
0.6,5.35,5.38,2.62,14.53,39.44,102.01
0.63,5.65,5.75,2.77,16.08,38.94,101.54
0.6,5.4,5.41,1.33,17.22,36.56,100.98
0.56,5.13,5.95,3.85,17.91,41.44,100.47
0.67,6.16,6.25,2.72,16.41,47.06,100.76
0.58,5.31,5.79,4.48,16.07,46.94,100.78
0.48,4.5,6.39,5.55,11.88,47.62,101.78
0.57,5.29,5.33,3.76,11.86,50.94,102.21
0.59,5.54,5.5,2.29,13.76,46.19,102.16
0.59,5.58,5.55,1.98,16.09,49.75,101.91
0.6,5.66,5.86,2.63,15.61,71.81,101.69
0.62,5.86,6.89,4.46,16.51,75.62,101.36
0.52,4.9,6.79,5.53,16.76,81.62,100.93
0.53,5.08,6.84,5.24,15.68,83.62,100.86
0.62,6.07,6.14,2.62,16.3,59.75,100.79
0.61,5.92,5.86,1.76,18.62,47.75,100.57
0.61,5.95,6.02,3.26,16.41,73.62,101.07
0.58,5.64,7.02,3.02,18.53,65.38,100.71
0.59,5.75,5.89,4.91,15.5,76.31,100.97
0.61,6.06,6.27,3.25,15.04,66.94,100.95
0.56,5.63,5.94,4.05,16.15,70.94,100.72
0.27,2.73,7.23,4.91,16.17,74.38,100.46
0.63,6.33,6.6,3.96,14.66,44.75,100.64
0.55,5.49,7.15,2.83,15.92,46,100.74
0.66,6.72,6.69,1.51,16.01,51.12,101.06
0.62,6.3,6.93,2.12,19.93,40.88,100.44
0.66,6.74,6.76,2.77,18.77,64.38,100.05
0.61,6.29,6.13,4.11,18.67,76.88,99.88
0.62,6.39,6.46,4.93,19.26,74.06,99.96
0.55,5.71,6.28,2.85,19.39,63.5,100.19
0.44,4.54,7.25,3.32,18.46,54.94,100.31
0.62,6.54,6.67,5.18,17.13,35.25,100.38
0.66,6.87,6.86,2.61,17.84,38.19,100.59
0.66,6.92,7.09,3.37,18.36,48.56,100.43
0.45,4.66,7.26,3.96,17.88,71.94,100.28
0.34,3.65,7.32,8.82,18.08,66.56,100.56
0.64,6.76,6.78,5.78,18.46,65.25,101.2
0.56,5.96,5.76,1.72,19.68,59.19,101.15
0.6,6.42,6.31,3.27,18.73,63.19,101.25
0.64,6.89,6.79,3.08,18.64,64.25,101.54
0.62,6.59,6.68,2.58,18.86,64.06,101.56
0.58,6.23,6.21,2.89,17.98,63.12,101.47
0.64,6.92,7.26,2.59,18.1,54.69,101.41
0.66,7.16,7.06,2.87,18.55,55.94,101.53
0.56,6.1,6.98,2.23,21.39,44.81,101.39
0.66,7.12,7.23,1.71,25.76,25.62,101.02
0.53,5.78,7.12,1.85,27.29,24.69,100.54
0.3,3.35,7.53,2.8,26.12,28.56,99.93
0.44,4.79,7.54,5.56,25.92,28.75,99.57
0.62,6.78,6.69,1.91,21.97,46.19,100.5
0.65,7.14,7.14,4.27,19.88,55.25,101.18
0.64,7.1,7.07,3.86,20.25,69.81,101.23
0.53,5.89,7.02,3.72,21.72,68.81,100.9
0.45,4.96,7.07,3.31,23.36,64.38,100.61
0.61,6.78,7.16,3.11,22.59,60.75,100.8
0.63,7.1,7.08,1.68,25.19,52.56,100.55
0.52,5.86,7.02,4.74,23.17,54,100.63
0.62,6.89,6.98,4.22,20.12,46,101.06
0.64,7.2,7.16,3.22,19.92,49.44,101.27
0.51,5.71,7.47,3.54,21.67,47.06,101.06
0.34,3.87,7.75,2.79,23.46,55.69,100.66
0.58,6.51,7.58,3.67,26.5,41.88,100.45
0.35,4.01,7.8,3.99,24.96,56.56,100.59
0.52,5.85,7.88,5.73,23.29,65.56,100.97
0.6,6.85,7.43,4.47,23.33,60.25,101.19
0.64,7.28,7.32,3.35,23.17,57.19,101.11
0.67,7.61,7.61,2.34,24.96,57.56,100.65
0.61,6.95,7.47,4.27,24.46,55.81,100.4
0.56,6.42,6.29,3.48,22.15,46.38,100.87
0.59,6.76,6.71,4.07,22.42,53.88,101.08
0.47,5.38,7.44,4.99,22.87,61.56,100.92
0.49,5.62,7.42,4.72,23.86,68.94,100.82
0.65,7.39,7.33,4.05,23.85,68.25,100.91
0.48,5.43,7.21,2.38,25.48,61.12,100.86
0.38,4.43,7.49,2.36,25.97,53.31,100.77
0.41,4.62,7.5,3.35,25.36,59.5,100.59
0.65,7.44,7.41,4.79,24.29,67.56,100.52
0.64,7.38,7.32,4.88,23.65,71.75,100.57
0.55,6.3,7.13,4.23,24.15,64.19,100.39
0.49,5.64,7.09,3.67,24.29,62.75,100.22
0.53,6.13,7.22,3.53,24.88,61.62,100.69
0.64,7.4,7.37,3.21,25.94,54.12,100.91
